# Description of Fields in this File
# ==================================
#  
# Pathway Name: a user friendly name of the pathway.
# Pathway Frame-id: a unique identifier of the pathway in the PGDB.
# Pathway Class Name: a user friendly name of a class that contains the pathway.
# Pathway Class Frame-id: a unique identifier of the Class Name in the PGDB.
# Pathway Score: A number from 0-1.0 indicating the strength of the evidence supporting the inference of this pathway, where 1.0 means very strong evidence.
# Pathway Frequency Score: the sum of the number of enzymes in the PGDB catalyzing the reactions of the pathway divided by the number of reactions in the pathway. This value can be larger than 1 since there might be several enzymes catalyzing the same reaction.
# Pathway Abundance: the abundance of the pathway given the abundance values of the genes for this pathway in the annotation file.
# Reason to Keep: a keyword describing the reason the pathway was kept.
# Pathway URL: the pathway URL for the Biocyc.org Web site.
#  
# The pathways in this file are sorted by Pathway Score.


Pathway Name | Pathway Frame-id | Pathway Class Name | Pathway Class Frame-id | Pathway Score | Pathway Frequency Score | Pathway Abundance | Reason to Keep | Pathway URL
(S,S)-butanediol biosynthesis|PWY-6390|Butanediol Biosynthesis|Butanediol-Biosynthesis|0.42313886|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6390
(R,R)-butanediol biosynthesis|PWY-5951|Butanediol Biosynthesis|Butanediol-Biosynthesis|0.42313886|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5951
(S,S)-butanediol degradation|PWY-6388|2,3-Butanediol Degradation|2-3-Butanediol-Degradation|0.42313886|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6388
(R,R)-butanediol degradation|PWY3O-246|2,3-Butanediol Degradation|2-3-Butanediol-Degradation|0.42313886|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY3O-246
4-aminobenzoate biosynthesis I|PWY-6543|4-Aminobenzoate Biosynthesis|4-Aminobenzoate-Biosynthesis|0.42313886|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6543
trimethylamine N-oxide biosynthesis|PWY-8292|||0.42313886|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8292
S-methyl-5'-thioadenosine degradation IV|PWY0-1391|S-methyl-5'-thioadenosine Degradation|Methylthioadenosine-Degradation|0.42313886|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1391
glycine biosynthesis IV|GLYSYN-THR-PWY|Glycine Biosynthesis|GLYCINE-SYN|0.42313886|4.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLYSYN-THR-PWY
phenylethylamine degradation I|2PHENDEG-PWY|Phenylethylamine Degradation|Phenylethylamine-Degradation|0.42417216|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=2PHENDEG-PWY
ectoine degradation|PWY-7855|||0.42426842|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7855
ethanolamine utilization|PWY0-1477|||0.4243229|4.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1477
thiamine diphosphate salvage IV (yeast)|PWY-7356|||0.43080887|1.4285715|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7356
L-lyxonate degradation|PWY-7516|||0.4343796|2.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7516
2-deoxy-alpha-D-ribose 1-phosphate degradation|PWY-7180|||0.4343796|1.3333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7180
L-proline degradation I|PROUT-PWY|L-proline Degradation|PROLINE-DEG|0.4397426|1.3333334|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PROUT-PWY
acrylonitrile degradation I|PWY-7308|||0.44000003|2.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7308
cytidylyl molybdenum cofactor sulfurylation|PWY-8165|||0.44000003|2.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8165
D-erythronate degradation II|PWY-7873|||0.44000003|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7873
L-cysteine degradation III|PWY-5329|L-cysteine Degradation|CYSTEINE-DEG|0.44000003|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5329
(Kdo)2-lipid A biosynthesis (generic)|PWY-8285|Kdo-lipid A biosynthesis|Kdo-lipid-A-Biosynthesis|0.44000003|2.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8285
(Kdo)2-lipid A biosynthesis (E. coli)|KDO-LIPASYN-PWY|Kdo-lipid A biosynthesis|Kdo-lipid-A-Biosynthesis|0.44000003|2.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=KDO-LIPASYN-PWY
thioredoxin pathway|THIOREDOX-PWY|||0.44000003|2.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=THIOREDOX-PWY
acrylate degradation II|PWY-8180|Acrylate Degradation|Acrylate-Degradation|0.44000003|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8180
S-methyl-5'-thioadenosine degradation III|PWY-6753|S-methyl-5'-thioadenosine Degradation|Methylthioadenosine-Degradation|0.44000003|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6753
mannosylglycerate biosynthesis I|PWY-5656|Mannosylglycerate Biosynthesis|Mannosylglycerate-Biosynthesis|0.44000003|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5656
acrylate degradation I|PWY-6373|Acrylate Degradation|Acrylate-Degradation|0.45717716|2.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6373
cyanate degradation|CYANCAT-PWY|||0.46869135|0.6666667|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=CYANCAT-PWY
glycolysis III (from glucose)|ANAGLYCOLYSIS-PWY|Glycolysis|GLYCOLYSIS-VARIANTS|0.47055522|2.7272727|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=ANAGLYCOLYSIS-PWY
TCA cycle I (prokaryotic)|TCA|TCA cycle|TCA-VARIANTS|0.48186642|2.2|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=TCA
aerobic respiration II (cytochrome c) (yeast)|PWY-7279|||0.48515964|4.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7279
beta-alanine degradation II|PWY-1781|beta-Alanine Degradation|Beta-Alanine-Degradation|0.4903311|5.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-1781
D-fructuronate degradation|PWY-7242|||0.50103694|2.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7242
L-valine degradation I|VALDEG-PWY|L-valine Degradation|VALINE-DEG|0.5243151|1.75|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=VALDEG-PWY
adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I|PWY-5509|||0.5260463|1.3333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5509
lipoprotein posttranslational modification|PWY-7884|||0.528|0.85714287|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7884
NADH to cytochrome bd oxidase electron transfer I|PWY0-1334|||0.5419529|7.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1334
succinate to cytochrome bd oxidase electron transfer|PWY0-1353|||0.5419529|7.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1353
Entner-Doudoroff shunt|ENTNER-DOUDOROFF-PWY|Entner-Doudoroff Pathways|Entner-Duodoroff-Pathways|0.5620739|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=ENTNER-DOUDOROFF-PWY
L-cysteine biosynthesis VII (from S-sulfo-L-cysteine)|PWY-7870|L-cysteine Biosynthesis|CYSTEINE-SYN|0.5642618|1.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7870
L-alanine biosynthesis I|ALANINE-VALINESYN-PWY|L-alanine Biosynthesis|ALANINE-SYN|0.56569123|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=ALANINE-VALINESYN-PWY
aminopropylcadaverine biosynthesis|PWY0-1303|||0.57084113|1.3333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1303
3-oxoadipate degradation|PWY-2361|||0.57139266|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-2361
L-cysteine biosynthesis I|CYSTSYN-PWY|L-cysteine Biosynthesis|CYSTEINE-SYN|0.57139266|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=CYSTSYN-PWY
folate polyglutamylation|PWY-2161|Folate Biosynthesis|Folate-Biosynthesis|0.57368606|2.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-2161
fatty acid beta-oxidation I (generic)|FAO-PWY|||0.57594556|3.142857|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=FAO-PWY
nitrate reduction VIIIb (dissimilatory)|PWY0-1573|Nitrate Reduction|Nitrate-Reduction|0.58126163|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1573
spermidine biosynthesis I|BSUBPOLYAMSYN-PWY|Spermidine Biosynthesis|Spermidine-Biosynthesis|0.58126163|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=BSUBPOLYAMSYN-PWY
4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis I|PWY-6890|4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis|HMP-PP-Biosynthesis|0.58126163|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6890
NAD de novo biosynthesis I|PYRIDNUCSYN-PWY|NAD Biosynthesis|NAD-SYN|0.58182555|1.6666666|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PYRIDNUCSYN-PWY
glutathione-peroxide redox reactions|PWY-4081|||0.5866667|1.3333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-4081
adeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP|PWY-7964|||0.5866667|1.3333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7964
5-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP|PWY-7968|||0.5866667|1.3333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7968
benzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP|PWY-7970|||0.5866667|1.3333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7970
2-methyladeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP|PWY-7965|||0.5866667|1.3333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7965
prenylated FMNH2 biosynthesis|PWY0-1597|Flavin Biosynthesis|Flavin-Biosynthesis|0.5866667|1.3333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1597
pyrimidine deoxyribonucleotides de novo biosynthesis I|PWY-7184|Pyrimidine Deoxyribonucleotide De Novo Biosynthesis|Pyrimid-Deoxyribonucleot-De-Novo-Biosyn|0.5980263|3.1111112|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7184
thiamine diphosphate biosynthesis I (E. coli)|PWY-6894|Thiamine Diphosphate Biosynthesis|Thiamin-Diphosphate-Biosynthesis|0.60098094|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6894
glutathione biosynthesis|GLUTATHIONESYN-PWY|||0.60098094|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUTATHIONESYN-PWY
xanthine and xanthosine salvage|SALVPURINE2-PWY|||0.60098094|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=SALVPURINE2-PWY
lipoate biosynthesis and incorporation I|PWY0-501|Lipoate Biosynthesis and Salvage|Lipoate-Biosynthesis|0.60098094|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-501
glycerol degradation I|PWY-4261|Glycerol Degradation|GLYCEROL-DEG|0.60098094|1.3333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-4261
glycerophosphodiester degradation|PWY-6952|Glycerol Degradation|GLYCEROL-DEG|0.60098094|4.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6952
stearate biosynthesis II (bacteria and plants)|PWY-5989|Stearate Biosynthesis|Stearate-Biosynthesis|0.6040545|2.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5989
anteiso-branched-chain fatty acid biosynthesis|PWY-8173|||0.6227615|2.1764705|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8173
odd iso-branched-chain fatty acid biosynthesis|PWY-8174|||0.6232212|2.1764705|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8174
ADP-L-glycero-beta-D-manno-heptose biosynthesis|PWY0-1241|||0.63799995|1.2|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1241
NAD de novo biosynthesis IV (anaerobic)|PWY-8277|NAD Biosynthesis|NAD-SYN|0.642446|1.6666666|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8277
flavin biosynthesis I (bacteria and plants)|RIBOSYN2-PWY|Flavin Biosynthesis|Flavin-Biosynthesis|0.6477767|2.2222223|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=RIBOSYN2-PWY
acyl carrier protein metabolism|PWY-6012|||0.6515694|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6012
L-threonine biosynthesis|HOMOSER-THRESYN-PWY|L-threonine Biosynthesis|THREONINE-BIOSYNTHESIS|0.6515694|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=HOMOSER-THRESYN-PWY
L-threonate degradation|PWY-7874|||0.66|1.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7874
glucosylglycerate biosynthesis I|PWY-5662|Glucosylglycerate Biosynthesis|Glucosylglycerate-Biosynthesis|0.66|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5662
catechol degradation to beta-ketoadipate|CATECHOL-ORTHO-CLEAVAGE-PWY|Catechol Degradation|Catechol-Degradation|0.6832847|2.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=CATECHOL-ORTHO-CLEAVAGE-PWY
fatty acid elongation -- saturated|FASYN-ELONG-PWY|||0.70400006|2.8|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=FASYN-ELONG-PWY
4-aminobutanoate degradation III|PWY-6536|4-Aminobutanoate Degradation|4-Aminobutyraye-Degradation|0.7088927|5.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6536
phenylmercury acetate degradation|P641-PWY|||0.715|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=P641-PWY
molybdenum cofactor biosynthesis|PWY-8171|||0.715|1.3333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8171
myo-inositol biosynthesis|PWY-2301|||0.715|2.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-2301
D-galactose degradation II|GALDEG-PWY|Galactose Degradation|GALACTOSE-DEGRADATION|0.715|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=GALDEG-PWY
arsenate detoxification IV (mycothiol)|PWY-6421|Arsenate Detoxification|Arsenate-Detoxification|0.715|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6421
base-degraded thiamine salvage|PWY-6899|||0.715|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6899
gluconeogenesis I|GLUCONEO-PWY|Gluconeogenesis|Gluconeogenesis|0.84159625|2.4615386|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUCONEO-PWY
L-homocysteine biosynthesis|PWY-5344|||0.88000005|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5344
cellulose biosynthesis|PWY-1001|||0.88000005|4.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-1001
guanylyl molybdenum cofactor biosynthesis|PWY-5964|||0.88000005|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5964
Kdo transfer to lipid IVA (generic)|PWY-8284|Kdo Transfer to Lipid IVA|KDO-Lipid-IV-Transfer|0.88000005|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8284
bis(guanylyl tungstenpterin) cofactor biosynthesis|PWY-8168|||0.88000005|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8168
L-asparagine degradation I|ASPARAGINE-DEG1-PWY|L-asparagine Degradation|ASPARAGINE-DEG|0.88000005|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=ASPARAGINE-DEG1-PWY
cyclopropane fatty acid (CFA) biosynthesis|PWY0-541|Cyclopropane Fatty Acid Biosynthesis|Cyclopropane-fatty-acid-biosyn|0.88000005|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-541
polyphosphate metabolism|PWY-8138|||0.88000005|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8138
urea degradation II|PWY-5704|Urea Degradation|Urea-Degradation|0.88000005|6.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5704
thiosulfate disproportionation IV (rhodanese)|PWY-5350|Thiosulfate Disproportionation|Thiosulfate-Disproportionation|0.88000005|4.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5350
fructose degradation|PWY0-1314|||0.88000005|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1314
CMP phosphorylation|PWY-7205|||0.88000005|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7205
heme degradation VI|PWY-7847|||0.88000005|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7847
phosphate acquisition|PWY-6348|||0.88000005|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6348
queuosine biosynthesis II (queuine salvage)|PWY-8105|Queuosine Biosynthesis and Salvage|Queuosine-Biosynthesis|0.88000005|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8105
glyphosate degradation II|PWY-7806|Glyphosate Degradation|Glyphosate-Degradation|0.88000005|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7806
ATP biosynthesis|PWY-7980|||0.88000005|26.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7980
adenosine nucleotides degradation III|PWY-6617|Adenosine Nucleotide Degradation|Adenosine-Nucleotides-Degradation|0.88000005|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6617
di-trans,poly-cis-undecaprenyl phosphate biosynthesis|PWY-5785|||0.88000005|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5785
phosphatidylcholine biosynthesis VI|PWY-6826|Phosphatidylcholine Biosynthesis|PhosphatidylcholineBiosynthesis|0.88000005|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6826
phosphatidylserine and phosphatidylethanolamine biosynthesis I|PWY-5669|Phosphatidylethanolamine Biosynthesis|PhosphatidylethanolamineBiosynthesis|0.88000005|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5669
pyrimidine nucleobases salvage I|PWY-7183|||0.88000005|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7183
L-glutamine degradation II|GLUTAMINEFUM-PWY|L-glutamine Degradation|GLUTAMINE-DEG|0.88000005|10.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUTAMINEFUM-PWY
3-dehydroquinate biosynthesis I|PWY-6164|3-Dehydroquinate Biosynthesis|3-Dehydroquinate-Biosynthesis|0.88000005|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6164
L-alanine degradation IV|PWY1-2|L-alanine Degradation|ALANINE-DEG|0.88000005|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY1-2
N6-L-threonylcarbamoyladenosine37-modified tRNA biosynthesis|PWY0-1587|||0.88000005|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1587
PRPP biosynthesis|PWY0-662|||0.88000005|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-662
L-alanine biosynthesis III|PWY0-1021|L-alanine Biosynthesis|ALANINE-SYN|0.88000005|4.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1021
formaldehyde oxidation IV (thiol-independent)|FORMASS-PWY|Formaldehyde Oxidation|Formaldehyde-Oxidation|0.88000005|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=FORMASS-PWY
N-end rule pathway I (prokaryotic)|PWY-7801|||0.88000005|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7801
beta-alanine biosynthesis III|PWY-5155|beta Alanine Biosynthesis|Beta-Alanine-Biosynthesis|0.88000005|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5155
glycine biosynthesis III|GLYSYN-ALA-PWY|Glycine Biosynthesis|GLYCINE-SYN|0.88000005|4.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLYSYN-ALA-PWY
ammonia assimilation cycle III|AMMASSIM-PWY|Ammonia Assimilation|Ammonia-Assimilation|0.89851636|1.3333334|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=AMMASSIM-PWY
Kdo transfer to lipid IVA (Haemophilus)|PWY-7675|Kdo Transfer to Lipid IVA|KDO-Lipid-IV-Transfer|0.9265694|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7675
NADH repair (prokaryotes)|PWY-6938-1|||0.9265694|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6938-1
NADPH repair (prokaryotes)|PWY-8136|||0.9265694|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8136
nitrate reduction V (assimilatory)|PWY-5675|Nitrate Reduction|Nitrate-Reduction|0.9265694|4.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5675
formaldehyde oxidation VII (THF pathway)|PWY-7909|Formaldehyde Oxidation|Formaldehyde-Oxidation|0.93249136|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7909
methylerythritol phosphate pathway I|NONMEVIPP-PWY|||0.94035965|1.7777778|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=NONMEVIPP-PWY
guanosine nucleotides degradation III|PWY-6608|Guanosine Nucleotide Degradation|Guanosine-Nucleotides-Degradation|0.96514463|2.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6608
folate transformations III (E. coli)|1CMET2-PWY|Folate Transformations|Folate-Transformations|0.9747579|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=1CMET2-PWY
L-proline biosynthesis I (from L-glutamate)|PROSYN-PWY|L-proline Biosynthesis|PROLINE-SYN|0.9888315|1.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PROSYN-PWY
cardiolipin biosynthesis III|PWY0-1545|Cardiolipin Biosynthesis|Cardiolipin-Biosynthesis|1.0|3.3333333|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1545
cardiolipin biosynthesis I|PWY-5668|Cardiolipin Biosynthesis|Cardiolipin-Biosynthesis|1.0|3.3333333|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5668
L-lysine biosynthesis I|DAPLYSINESYN-PWY|L-lysine Biosynthesis|LYSINE-SYN|1.0|2.2222223|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=DAPLYSINESYN-PWY
adenosine ribonucleotides de novo biosynthesis|PWY-7219|||1.0|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7219
adenosylcobinamide-GDP biosynthesis from cobyrinate a,c-diamide|PWY-7962|||1.0|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7962
nonaprenyl diphosphate biosynthesis I|PWY-5805|||1.0|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5805
ubiquinol-8 biosynthesis (early decarboxylation)|PWY-6708|||1.0|2.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6708
