#
#  halomonas_cubes_take2cyc 1.0 Pathways link table generated on Wed Sep 13, 2023
#
VALDEG-PWY	L-valine degradation I	
PWY-5901	2,3-dihydroxybenzoate biosynthesis	
PWY-8159	dipyrromethane cofactor biosynthesis	
PWY-7884	lipoprotein posttranslational modification	lipoprotein lipoylation	Lol pathway
SERDEG-PWY	L-serine degradation	
GLUTAMATE-DEG1-PWY	L-glutamate degradation I	GDH shunt
PWY0-662	PRPP biosynthesis	5-phosphoribosyl 1-pyrophosphate biosynthesis
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	
PWY-8171	molybdenum cofactor biosynthesis	moco biosynthesis	molybdopterin biosynthesis
PWY-6708	ubiquinol-8 biosynthesis (early decarboxylation)	ubiquinone-8 biosynthesis (prokaryotic)	ubiquinol-8 biosynthesis (prokaryotic)
PWY-7194	pyrimidine nucleobases salvage II	cytosine salvage
PWY-5667	CDP-diacylglycerol biosynthesis I	CDP-diacylglycerol biosynthesis
PWY-6550	carbazole degradation	
PWY-5669	phosphatidylserine and phosphatidylethanolamine biosynthesis I	
PWY0-1546	muropeptide degradation	
PWY-6901	superpathway of glucose and xylose degradation	
PWY0-1312	acetate and ATP formation from acetyl-CoA I	acetic acid formation from acetyl-CoA I
PWY-2361	3-oxoadipate degradation	&beta;-ketoadipate degradation
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	
PWY-7184	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I	
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	
PWY-3001	superpathway of L-isoleucine biosynthesis I	
FASYN-ELONG-PWY	fatty acid elongation -- saturated	
PWY-8004	Entner-Doudoroff pathway I	ED pathway I
PWY-7205	CMP phosphorylation	
DETOX1-PWY-1	reactive oxygen species degradation	removal of superoxide radicals
PWY-7870	L-cysteine biosynthesis VII (from <i>S</i>-sulfo-L-cysteine)	
PWY-8347	adipate biosynthesis	reverse adipate degradation pathway	RADP
1CMET2-PWY	folate transformations III (<i>E. coli</i>)	<i>N</i><sup>10</sup>-formyl-THF biosynthesis	<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis
ARGASEDEG-PWY	L-arginine degradation I (arginase pathway)	L-arginase degradative pathway	L-glutamate biosynthesis
PWY-7798	protein <i>S</i>-nitrosylation and denitrosylation	
PWY-6430	thymine degradation	uracil degradation (reductive)
PWY-8354	adipate degradation	
PWY-7185	UTP and CTP dephosphorylation I	pyrimidine nucleotides dephosphorylation
PWY0-1584	<i>sn</i>-glycerol 3-phosphate anaerobic respiration	periplasmic glycerol-3-phosphate to nitrate electron transfer	nitrate reduction X (dissimilatory, periplasmic)
PWY-6387	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	
PWY-5918	superpathway of heme <i>b</i> biosynthesis from glutamate	
PWY-6543	4-aminobenzoate biosynthesis I	pABA biosynthesis I	plastidial PABA biosynthesis	PABA biosynthesis in plastids	<i>p</i>-aminobenzoate biosynthesis I
PWY-5046	2-oxoisovalerate decarboxylation to isobutanoyl-CoA	branched-chain &alpha;-keto acid dehydrogenase system	branched-chain &alpha;-keto acid dehydrogenase complex	branched-chain 2-oxo acid dehydrogenase complex	branched-chain 2-oxo acid dehydrogenase system
PWY-8276	4-aminobenzoate biosynthesis II	pABA biosynthesis II	<i>p</i>-aminobenzoate biosynthesis II
NAD-BIOSYNTHESIS-II	NAD salvage pathway III (to nicotinamide riboside)	nicotinamide adenine dinucleotide salvage
PWY-7308	acrylonitrile degradation I	
PWY0-1296	purine ribonucleosides degradation	
DAPLYSINESYN-PWY	L-lysine biosynthesis I	L-lysine and L-diaminopimelate biosynthesis
PWY3O-4106	NAD salvage pathway IV (from nicotinamide riboside)	nicotinamide riboside salvage pathway	nicotinamide adenine dinucleotide salvage
PWY0-1280	ethylene glycol degradation	
PWY-7221	guanosine ribonucleotides <i>de novo</i> biosynthesis	
PWY-5431	aromatic compounds degradation via &beta;-ketoadipate	&beta;-ketoadipate pathway
NONMEVIPP-PWY	methylerythritol phosphate pathway I	nonmevalonate isopentenyl diphosphate biosynthesis	methylerythritol phosphate degradation	MEP degradation	deoxyxylulose phosphate pathway	DOXP pathway	Rohmer pathway	isopentenyl diphosphate biosynthesis -- mevalonate-independent	nonmevalonate isoprenoid pathway	MEP pathway
HOMOSERSYN-PWY	L-homoserine biosynthesis	
PWY0-501	lipoate biosynthesis and incorporation I	
TRNA-CHARGING-PWY	tRNA charging	
PWY-7747	diphenyl ethers degradation	
PWY-7181	pyrimidine deoxyribonucleosides degradation	
PWY-7346	UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)	UDP-&alpha;-D-glucuronate biosynthesis	UDP-glucuronic acid biosynthesis (from UDP-glucose)	UDP-GlcA biosynthesis
CRNFORCAT-PWY	creatinine degradation I	creatinine catabolism
PWY-5344	L-homocysteine biosynthesis	
PWY-6700	queuosine biosynthesis I (<i>de novo</i>)	
