#
#  halomonas_cubes_take2cyc 1.0 Reactions link table generated on Wed Sep 13, 2023
#
RXN-14047	EC-4.2.1.3
RXN-21601	EC-2.7.7.77
RXN-16457	
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	EC-2.3.1.51
RXN-16456	
RXN-14116	EC-1.2.1.88
RXN-11573	EC-2.1.1.187
RXN-16427	EC-2.7.7.77
RXN-17391	EC-4.2.2
RXN-1623	EC-2.3.1.51
RXN-8348	EC-2.10.1.1
ACYLGPEACYLTRANS-RXN	EC-2.3.1.40
RXN-21560	EC-2.8.1.7
GLYRIBONUCSYN-RXN	EC-6.3.4.13
RXN-13268	EC-6.2.1.20
RXN-8340	EC-4.1.99.22
RXN0-3543	EC-3.6.1
RXN-13266	EC-6.2.1.20
2OXOGLUTARATEDEH-RXN	EC-1.2.1.105
CELLULOSE-SYNTHASE-UDP-FORMING-RXN	EC-2.4.1.12
ACYLACPSYNTH-RXN	EC-6.2.1.20
RXN0-12	
RXN-2043	EC-3.2.1.4
RXN-13267	EC-6.2.1.20
RXN-12588	EC-2.8.1.7
RXN-12587	
3.1.21.3-RXN	EC-3.1.21.3
RXN-22698	EC-2.8.1.7
RXN-21228	EC-2.3.3.16
RXN-22697	
RXN-20743	EC-3.1.1.2
RXN-12572	EC-1.3.99.41
2.1.1.72-RXN	EC-2.1.1.72
N-CARBAMOYLPUTRESCINE-AMIDASE-RXN	EC-3.5.1.53
RXN-22700	EC-2.8.1.7
RXN-18707	
RXN-20739	EC-3.1.1.2
AMIDASE-RXN	EC-3.5.1.4
RXN2R0Y-12	
RXN-14727	EC-3.5.1.4
RXN-20738	EC-3.1.1.2
RXN-17344	EC-1.13.11.39
TRANS-RXN-324	EC-7.6.2.9
RXN-15881	EC-2.8.1.7
RXN-1126	EC-6.2.1.12
RXN-17608	EC-3.5.1.4
RXN0-5227	EC-3.4.17.13
BIPHENYL-23-DIOL-12-DIOXYGENASE-RXN	EC-1.13.11.39
RXN-8638	EC-7.6.2.9
RXN-9787	EC-2.8.1.7
TRANS-RXN-332	EC-7.5.2.7
RXN-14382	
S-FORMYLGLUTATHIONE-HYDROLASE-RXN	EC-3.1.2.12
RXN-17343	EC-1.13.11.39
ARYLESTERASE-RXN	EC-3.1.1.2
R311-RXN	EC-3.5.1.4
325-BISPHOSPHATE-NUCLEOTIDASE-RXN	EC-3.1.3.7
RXN-17884	EC-1.1.1.284
RXN-11542	EC-1.13.11.39
RXNN-404	EC-3.5.1.4
RXN-21566	EC-2.8.1.7
2.7.8.6-RXN	EC-2.7.8.6
RXN0-5293	EC-1.2.1.16
RXN-2962	EC-1.1.1.284
RXN-21565	
2.4.1.117-RXN	EC-2.4.1.117
GUANIDINOBUTANAMIDE-NH3-RXN	EC-3.5.1.4
4-HYDROXY-2-KETOPIMELATE-LYSIS-RXN	EC-4.1.2.52
PYRAZIN-RXN	EC-3.5.1.4
RXN-14570	EC-2.3.1.234
RXN-14385	EC-2.8.1.7
2.7.7.13-RXN	EC-2.7.7.13
RXN-20037	EC-2.8.1.7
CARBOXY-OXOHEPT-ENEDIOATE-DECARBOXY-RXN	
4.1.1.68-RXN	EC-4.1.1.68
MANNPISOM-RXN	EC-5.3.1.8
RXN-14728	EC-3.5.1.4
RXN-14249	EC-1.1.1.103
RXN0-308	
THREODEHYD-RXN	EC-1.1.1.103
RXN1K-87	EC-5.3.2
RXN-12621	
THREOSPON-RXN	
RXN-11211	EC-3.5.2.2
H2NEOPTERINALDOL-RXN	EC-4.1.2.25
GDPMANDEHYDRA-RXN	EC-4.2.1.47
RXN-18588	EC-4.1.1.104
1.13.11.15-RXN	EC-1.13.11.15
GLYCEROL-KIN-RXN	EC-2.7.1.30
RXN-10857	EC-4.1.2.25
RXN-11217	EC-3.5.2.2
CHMS-DEHYDROGENASE-RXN	EC-1.2.1.60
RXN-21817	EC-7.1.1.3
3.6.3.40-RXN	EC-7.5.2.4
RXN0-5258-Yeast	EC-1.1.5.3
DIHYDROPYRIMIDINASE-RXN	EC-3.5.2.2
RXN0-7309	EC-3.6.1.76
TRANS-RXN-321	EC-7.5.2.4
RXN0-5260	EC-1.1.5.3
URA-PHOSPH-RXN	EC-2.4.2.3	EC-2.4.2.2
5.3.3.10-RXN	EC-5.3.3.10
RXN-21405	EC-1.1.5.3
RXN-15740	EC-1.1.5.3
TRNA-CYTIDYLYLTRANSFERASE-RXN	EC-2.7.7.72
GLYC3PDEHYDROG-RXN	EC-1.1.5.3
RXN-12241	EC-2.4.2.44
GLUTAMATESYN-RXN	EC-1.4.1.13
3.6.1.41-RXN	EC-3.6.1.41
DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN	EC-1.3.1.1
TRANS-RXN-314	EC-7.5.2.4
RXN-18028	EC-7.5.2.4
RXN-18029	EC-7.5.2.4
RXN0-5257	
RXN-15745	EC-1.1.5.3
RXN0-6565	EC-1.3.1.1
RXN-9632	EC-2.3.1.41
ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	EC-2.6.1.44
RXN-22317	
RXN-20084	
GLUTAMIN-RXN	EC-3.5.1.38	EC-3.5.1.2
SERINE--PYRUVATE-AMINOTRANSFERASE-RXN	EC-2.6.1.51
RXN-17883	
RXN-14904	
CHD-RXN	EC-1.1.99.1
RXN-17758	
RXN-11633	EC-2.1.1.182
CYTDEAM-RXN	EC-3.5.4.1
RXN-9560	
RXN-20898	
RXN0-7230	EC-1.1.99.1
PHENYLSERINE-ALDOLASE-RXN	EC-4.1.2.26
RXN-18589	EC-4.1.1.104
RXN-22777	
RXN-18591	EC-1.1.1.410
RXN-14197	EC-3.5.4.1
RXN-22348	
PHENDEHYD-RXN	EC-1.2.1.39
RXN-22603	
RXN-14129	EC-3.5.4.1
RXN0-5305	
RXN-14883	
RXN-6382	EC-1.2.1.8
RXN-20148	EC-1.10.3.17
RXN-22316	
RXN-20149	
RXN-22775	
RXN-10851	
BADH-RXN	EC-1.2.1.8
RXN-13179	EC-1.1.1.262
RXN-23528	
RXN-22776	
RXN-9559	
RXN-22774	
RXN-22790	
RXN0-5359	EC-2.7.7.65
RXN-17882	
RXN-22778	
RXN-9758	EC-1.2.1.8
DTDPGLUCOSEPP-RXN	EC-2.7.7.24
RXN-22349	
RXN-10018	
ORNITHINE-CYCLODEAMINASE-RXN	EC-4.3.1.12
R581-RXN	EC-4.99.1.2
2.7.8.24-RXN	EC-2.7.8.24
RXN-11867	EC-2.1.1.200
SAMDECARB-RXN	EC-4.1.1.50
1.1.1.190-RXN	EC-1.1.1.190
RXN0-6482	EC-2.7.7.56
RXN-11866	EC-2.1.1.200	EC-2.1.1.205
ABC-36-RXN	EC-7.4.2.2
RXN0-6481	EC-2.7.7.56
3.5.1.88-RXN	EC-3.5.1.88
ALKAPHOSPHA-RXN	EC-3.1.3.1
4.1.2.29-RXN	EC-4.1.2.29
TRNA-NUCLEOTIDYLTRANSFERASE-RXN	EC-2.7.7.56
GTP-CYCLOHYDRO-I-RXN	EC-3.5.4.16
RXN-8748	EC-3.1.3.1
RXN-22250	EC-2.3.1.241
3.1.11.2-RXN	EC-3.1.11.2
RXN-13319	
RXN-9771	
RXN2B4Q-66	EC-2.3.1.241
F16ALDOLASE-RXN	EC-4.1.2.13
RXN-12541	
IMPCYCLOHYDROLASE-RXN	EC-3.5.4.10
RXN-16992	
RXN-22315	
TRANS-RXN-129	
AICARTRANSFORM-RXN	EC-2.1.2.3
RXN-19916	EC-4.1.2.13
RXN-11410	
TRANS-RXN-130	
RXN-9922	
OROPRIBTRANS-RXN	EC-2.4.2.10
RXN-14810	
BIOTIN-CARBOXYL-RXN	EC-6.3.4.14
GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN	EC-5.1.3.15
TRANS-RXN-101	
RXN-22605	
RXN-21230	
RXN-17881	
RXN-22323	
RXN2DNV-6	EC-2.3.1.241
RXN0-7187	
SEDOBISALDOL-RXN	EC-4.1.2.13
1.6.4.4-RXN	EC-1.8.1.8
GLYCOLALD-DEHYDROG-RXN	EC-1.2.1.21
RXN-17345	
RXN-11865	EC-2.1.1.207
RXN-20459	
RXN-22285	
INORGPYROPHOSPHAT-RXN	EC-3.6.1.1
RXN-8631	EC-4.1.2.13
RXN2B4Q-56	EC-2.3.1.241
RXN-8899	
RXN-18032	
RXN-22318	
2.7.1.90-RXN	EC-2.7.1.90
RXN-18392	
RXN-3482	
RXN-21730	EC-2.7.1.90
RXN2G6Z-4	EC-2.3.1.241
RXN0-7080	
RXN-13459	EC-5.3.2.6
RXN-10	EC-6.3.4.5
RXN-22488	EC-2.3.1.241
RXN-11860	EC-2.1.1.207
LAUROYLACYLTRAN-RXN	EC-2.3.1.241
2.6.1.18-RXN	EC-2.6.1.18
ARGSUCCINSYN-RXN	EC-6.3.4.5
RXN-6081	
RXN-17753	
ABC-20-RXN	EC-7.2.2
TRANS-RXN-104	
RXN-20792	EC-2.3.1.241
RXN-19310	EC-3.1.3.73
RXN-6268	
RXN-15139	
RXN-14696	EC-1.14.99.48
RXN-13248	EC-4.1.1
RXN-14812	
TRANS-RXN0-286	
4.2.99.18-RXN	EC-4.2.99.18
RXN-14697	EC-1.14.99.48
RXN-4821	EC-3.5.99
RXN-18232	
RXN-21019	
RXN-8315	
RXN-18157	
RXN0-2601	EC-4.2.99.18
RXN-11354	EC-5.2.1.12
RXN0-10	
RXN-22287	
PHENYLPYRUVATE-TAUTOMERASE-RXN	EC-5.3.2.1
RXN-21261	EC-4.2.99.18
RXN-22388	
RXN-21000	
RXN-14056	
RXN-20478	EC-4.2.99.18
GABATRANSAM-RXN	EC-2.6.1.19
RXN-22723	
ALARACECAT-RXN	EC-5.1.1.10	EC-5.1.1.1
ABC-16-RXN	EC-7.5.2.1
RXN-11409	
RXN-15140	
RXN-15348	
2.1.1.77-RXN	EC-2.1.1.77
RXN-16454	
METHIONINE--TRNA-LIGASE-RXN	EC-6.1.1.10
RXN-22337	
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	EC-2.6.1.16
RXN-22606	
TRANS-RXN2R0Y-23	
RXN-16165	EC-6.1.1.10
RXN-18819	
RXN-14882	
RXN-14290	
RXN-17633	
ABC-33-RXN	EC-7.5.2.13	EC-7.5.2.10
PSERTRANSAMPYR-RXN	EC-2.6.1.52
ASPAMINOTRANS-RXN	EC-2.6.1.1
TRYPTOPHAN-AMINOTRANSFERASE-RXN	EC-2.6.1.1	EC-2.6.1.27
RXN0-7188	
RXN-22286	
3.6.3.23-RXN	EC-7.4.2.6
PSERTRANSAM-RXN	EC-2.6.1.52
RXN-16614	EC-5.3.3.14
XMPXAN-RXN	EC-3.1.3.5
RXN0-6721	
5.3.3.14-RXN	EC-5.3.3.14
2.1.1.138-RXN	
RXN-11737	EC-2.6.1.1
RXN-22319	
RXN-10016	
CHORISMATEMUT-RXN	EC-5.4.99.5
RXN-14227	EC-3.1.3.5
RXN-14408	
RXN-22324	
PREPHENATEDEHYDRAT-RXN	EC-4.2.1.51
RXN-17780	EC-4.2.1.17
RXN-14396	
RXN-19022	
5-NUCLEOTID-RXN	EC-3.1.3.5
RXN-22604	
NAG1P-URIDYLTRANS-RXN	EC-2.7.7.23
RXN-5841	EC-3.1.3.5
RXN-16765	
PREPHENATEDEHYDROG-RXN	EC-1.3.1.12
RXN-13747	EC-5.2.1
RXN-18031	
RXN-22643	
CYCLOHEXADIENYL-DEHYDROGENASE-RXN	EC-1.3.1.43
RXN-11811	
RXN-7607	EC-3.1.3.99
2.5.1.19-RXN	EC-2.5.1.19
ENOYL-ACP-REDUCT-NADPH-RXN	EC-1.3.1.10	EC-1.3.1.104	EC-1.3.1.39
RXN-14026	EC-3.1.3.91	EC-3.1.3.5
RXN-14139	EC-3.6.1.9
RXN-10814	EC-2.6.1.1	EC-2.6.1.57	EC-2.6.1.27
RXN-11832	EC-2.7.4.14	EC-2.7.4.25
RXN-2425	EC-4.2.1.17
AMP-DEPHOSPHORYLATION-RXN	EC-3.1.3.5
RXN-13697	EC-2.6.1.1
RXN-7913	EC-2.7.4.25	EC-2.7.4.14	EC-2.7.4.13
RXN-7609	EC-3.1.3.5
TYROSINE-AMINOTRANSFERASE-RXN	EC-2.6.1.1	EC-2.6.1.57	EC-2.6.1.5	EC-2.6.1.27
ISOCHORSYN-RXN	EC-5.4.4.2
RXN-15116	EC-1.6.3.5
DHBDEHYD-RXN	EC-1.3.1.28
RXN-2002	EC-4.2.1.17
2.3.1.157-RXN	EC-2.3.1.157
RXN-14025	EC-3.1.3.5
RXN-16773	EC-1.6.3.5
3.5.1.87-RXN	EC-3.5.1.87
DEPHOSPHOCOAKIN-RXN	EC-2.7.1.24
RXN-17776	EC-4.2.1.17
TRANS-RXN2R0Y-6	
RXN-16775	EC-1.6.3.5
3.4.23.43-RXN	EC-3.4.23.43
4.99.1.3-RXN	EC-4.99.1.3
ENOYL-COA-HYDRAT-RXN	EC-4.2.1.17
RXN-16774	EC-1.6.3.5
RXN-11841	EC-5.4.99.27
RXN0-5393	EC-4.2.1.17
RXN0-302	EC-4.6.1.12
6.3.4.9-RXN	EC-6.3.4.9
6.3.4.10-RXN	EC-6.3.4.10
2.7.7.60-RXN	EC-2.7.7.60
RXN-21550	EC-2.8.1
RXN-10952	EC-3.1.3.25
RXN-21562	
RXN-10954	EC-3.1.3.25
6.3.4.11-RXN	EC-6.3.4.11
RXN-7563	EC-1.4.99.6
RXN-7253	EC-3.1.3.25
RXN-15849	
RXN-15850	
RXN0-5408	EC-3.1.3.25
RXN1G01-65	EC-2.1.1.79
MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN	EC-3.1.3.25
RXN1G-3641	EC-2.1.1.79
BIOTINLIG-RXN	EC-6.3.4.15
RXN-22002	
RXN0-7192	
THIKIN-RXN	EC-2.7.1.89
RXN-10949	EC-3.1.3.25
RXN-10953	EC-3.1.3.25
RXN-9958	EC-1.2.1.18
2.1.1.79-RXN	EC-2.1.1.79
RXN-2902	EC-1.2.1.18
RXN-7421	EC-2.1.1.79
RXN-18593	EC-5.3.1.35
PANTOTHENATE-KIN-RXN	EC-2.7.1.33
RXN0-5391	EC-5.3.3.8
RXN-7567	EC-4.2.1.84
MYO-INOSOSE-2-DEHYDRATASE-RXN	EC-4.2.1.44
AMP-NUCLEOSID-RXN	EC-3.2.2.4
RXN-18592	EC-5.3.1.35
3.2.2.10-RXN	EC-3.2.2.10
RXN1G-2544	EC-2.1.1.79
RXN-7931	EC-5.3.3.8
RXN-14065	EC-3.2.2.10
RXN-14149	EC-3.7.1.22
GCVP-RXN	EC-1.4.4.2
5-DEHYDRO-2-DEOXYGLUCONOKINASE-RXN	EC-2.7.1.92
GCVT-RXN	EC-2.1.2.10
ISOCITRATE-DEHYDROGENASE-NAD+-RXN	EC-1.1.1.286
ENOYL-COA-DELTA-ISOM-RXN	EC-5.3.3.8
TRANS-RXN0-462	
MYO-INOSITOL-2-DEHYDROGENASE-RXN	EC-1.1.1.18
3.6.3.3-RXN	EC-7.2.2.21
RXN0-5205	EC-7.2.2.12
3-OXOACID-COA-TRANSFERASE-RXN	EC-2.8.3.5
RXN-14150	EC-5.3.1.30
RXNI-2	EC-2.8.3.5
RXN-11543	EC-3.7.1.13
RXN-11511	EC-1.14.12.22
TRANS-RXN-178	EC-7.2.2.9
3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	EC-1.1.1.30
RXN-7282	EC-5.3.2
UDPGLUCEPIM-RXN	EC-5.1.3.2
RXN-19492	
RIBOSYLHOMOCYSTEINASE-RXN	EC-4.4.1.21
RXN-12610	EC-2.5.1.3
DIHYDROOROT-RXN	EC-3.5.2.3
RXN-12611	EC-2.5.1.3
RXN-15138	EC-3.8.1.2
THI-P-SYN-RXN	EC-2.5.1.3
RXN-9544	EC-1.1.1
METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN	EC-3.2.2.9	EC-3.2.2.16
THIAZOLSYN3-RXN	EC-2.7.1.50
2-HALOACID-DEHALOGENASE-RXN	EC-3.8.1.10
RXN0-6550	EC-3.2.2.9
ALLOPHANATE-HYDROLASE-RXN	EC-3.5.1.54
RXN-20065	
RXN0-5222	
ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN	EC-3.2.2.9
GLUTAMINESYN-RXN	EC-6.3.1.2
OHACYL-COA-DEHYDROG-RXN	EC-1.1.1.35
TRANS-RXN2R0Y-17	
RXN-2003	EC-1.1.1.35
METHENYLTHFCYCLOHYDRO-RXN	EC-3.5.4.9
R621-RXN	EC-1.14.12.17
NICOTINAMID-RXN	EC-3.5.1.19
TRANS-OCTAPRENYLTRANSTRANSFERASE-RXN	EC-2.5.1.84
METHYLENETHFDEHYDROG-NADP-RXN	EC-1.5.1.5
RXN-17777	EC-1.1.1.35
GLUTKIN-RXN	EC-2.7.2.11
NICOTINATEPRIBOSYLTRANS-RXN	EC-6.3.4.21
RXN-17781	EC-1.1.1.35
RXN-8667	EC-1.11.1.21
CATAL-RXN	EC-1.11.1.6	EC-1.11.1.21
RXN0-2044	EC-1.1.1.35
2.7.7.1-RXN	EC-2.7.7.1
RXN-17880	
ISOCIT-CLEAV-RXN	EC-4.1.3.1
RXN-17887	
RXN0-1441	EC-3.6.1.53
RXN-17886	
TRANS-RXN-108	
HYDROXYLAMINE-REDUCTASE-NADH-RXN	EC-1.7.1.10
RXN-21653	EC-1.3.1.104	EC-1.3.1.10
RXN-21610	EC-2.3.1.300
RXN-21648	EC-1.3.1.104	EC-1.3.1.10
TRANS-RXN0-277	EC-7.1.1.1
RXN-12570	EC-1.1.1.35
AICARSYN-RXN	EC-4.3.2.2
RXN-21658	EC-1.3.1.104	EC-1.3.1.10
RXN-21663	EC-1.3.1.104	EC-1.3.1.10
RXN-22497	EC-4.3.2.2
RXN-21668	EC-1.3.1.104	EC-1.3.1.10	EC-1.3.1.39
RXN-21673	EC-1.3.1.104	EC-1.3.1.10
RXN-21675	EC-3.1.2.14
AMPSYN-RXN	EC-4.3.2.2
RXN-21715	EC-3.1.2.14
ACYLPHOSPHATASE-RXN	EC-3.6.1.7
RXN0-366	EC-3.2.2.1
O-ACETYLHOMOSERINE-THIOL-LYASE-RXN	EC-2.5.1.49
RXN-16820	EC-2.8.1.13
ACETYLHOMOSER-CYS-RXN	EC-2.5.1.49
RXN-18693	EC-2.8.1.13
TRANS-RXN0-470	
R310-RXN	EC-4.2.1.84
RXN0-2023	EC-2.8.1.13
CYSPH-RXN	EC-2.5.1.48
RXN490-3616	EC-6.1.1.23
ASPARTATE--TRNA-LIGASE-RXN	EC-6.1.1.23	EC-6.1.1.12
TRANS-RXN0-586	
O-SUCCHOMOSERLYASE-RXN	EC-2.5.1.48
6.1.1.23-RXN	EC-6.1.1.23
RXN-9384	EC-2.5.1.48
RXN-12196	EC-3.6.1.15
RXN-11662	EC-1.1.1.35
RXN-12197	EC-3.6.1.6
RXN-14014	EC-1.17.1.8
RXN-12198	EC-3.6.1.6
RXN-20676	EC-1.1.1.35	EC-1.1.1.211
RXN-11834	EC-5.4.99.20
3.1.22.4-RXN	EC-3.1.21.10
RXN0-4361	EC-3.1.3.82
RXN-18602	EC-2.5.1.48
RXN0-4301	EC-5.3.1.28
CARBPSYN-RXN	EC-6.3.5.5
RXN-12490	EC-1.1.1.35
RXN-22735	EC-6.3.4.16
RXN-16909	
RXN-22736	
ISOCITDEH-RXN	EC-1.1.1.42
RXN-14196	
RXN-8642	
RXN-9951	
RXN-17339	EC-1.14.12.18
RXN-17340	EC-1.3.1.56
MERCAPYSTRANS-RXN	EC-2.8.1.2
RXN-17338	
RXN-18702	
RXN-18703	
RXN-11845	EC-2.1.1.166
4.3.1.17-RXN	EC-4.3.1.17
RXN-15125	
OHMETPYRKIN-RXN	EC-2.7.1.49
RXN-15124	
RXN2R0Y-3	
RXN-15127	EC-3.5.99.10
RXNQT-4191	EC-3.1.3.100
RXN-20679	EC-1.1.1.35
THIAMIN-PYROPHOSPHOKINASE-RXN	EC-2.7.6.2
RXN-17890	EC-2.3.2.8
H2PTEROATESYNTH-RXN	EC-2.5.1.15
RIBOSYLNICOTINAMIDE-KINASE-RXN	EC-2.7.1.22
5.4.2.10-RXN	EC-5.4.2.10
ARGINYLTRANSFERASE-RXN	EC-2.3.2.8
RXN-16424	
FORMYLTHFDEFORMYL-RXN	EC-3.5.1.10
RXN0-7139	
RXN-17888	EC-2.3.2.8
RXN-2961	EC-4.4.1.22
RXN-17889	EC-2.3.2.8
RXN-14393	EC-1.1.1.35	EC-1.1.1.211
TRIOSEPISOMERIZATION-RXN	EC-5.3.1.1
SARCOX-RXN	EC-1.5.3.1
OHBUTYRYL-COA-EPIM-RXN	EC-5.1.2.3
RXN-17891	EC-2.3.2.8
RXN-11839	EC-5.4.99.25
GLYOHMETRANS-RXN	EC-2.1.2.1
2.7.7.8-RXN	EC-2.7.7.8
DHHB-METHYLTRANSFER-RXN	EC-2.1.1.64
RXN-11589	EC-2.1.1.186
RXN-17848	EC-2.3.2.6
RXN-17847	EC-2.3.2.6
ASPDECARBOX-RXN	EC-4.1.1.11
LEUCYLTRANSFERASE-RXN	EC-2.3.2.6
PANTOATE-BETA-ALANINE-LIG-RXN	EC-6.3.2.1
FORMALDEHYDE-DEHYDROGENASE-RXN	EC-1.2.1.46
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN	EC-2.1.1.222
RXN-17846	EC-2.3.2.6
RXN-17779	EC-1.3.8.8
RXN-15635	EC-2.1.2.11
1.1.1.178-RXN	EC-1.1.1.178
TIGLYLCOA-HYDROXY-RXN	EC-4.2.1.150
RXN-14207	EC-2.7.1.40
RXN66-337	EC-3.4.13.19
GLUTRACE-RXN	EC-5.1.1.3
RXN-14192	EC-2.7.1.40
TRNA-URACIL-5--METHYLTRANSFERASE-RXN	EC-2.1.1.35
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	EC-2.1.2.11
RXN2R0Y-9	
RXN-14117	EC-2.7.1.40
GLUC1PURIDYLTRANS-RXN	EC-2.7.7.64	EC-2.7.7.9
RXN-15682	EC-3.4.13.19
PEPDEPHOS-RXN	EC-2.7.1.40
GLUTAMATE-DEHYDROGENASE-RXN	EC-1.4.1.2
RXN-9788	EC-2.8.1
POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN	EC-2.7.7.19
RXN-9789	EC-2.7.7.73
RXN-8668	EC-1.8.4.11
RXN-17783	EC-1.3.8.8
UREIDOGLYCOLATE-LYASE-RXN	EC-4.3.2.3
RXN-11319	EC-4.1.99.19
RXN-23018	EC-3.4.13.19
DIHYDROOROTATE-DEHYDROGENASE-RXN	EC-1.3.5.2
VALINE-PYRUVATE-AMINOTRANSFER-RXN	EC-2.6.1.66
RXN-17775	EC-1.3.8.8
RXN0-6491	EC-1.3.5.2
URATE-OXIDASE-RXN	EC-1.7.3.3
HOMOSERINE-O-ACETYLTRANSFERASE-RXN	EC-2.3.1.31
1.1.1.43-RXN	EC-1.1.1.43
RXN0-6554	EC-1.3.5.2
GLUCONATE-2-DEHYDROGENASE-RXN	EC-1.1.99.3
RXN0-6490	
RXN0-5224	EC-4.2.1.1
3.4.13.19-RXN	EC-3.4.13.19
RXN66-546	EC-1.5.1.2
ALLANTOIN-RACEMASE-RXN	EC-5.1.99.3
PREPHENATE-TRANSAMINE-RXN	EC-2.6.1.79
RXN-11574	EC-2.1.1.173
GLUTATHIONE-REDUCT-NADPH-RXN	EC-1.8.1.7
RXN-23015	EC-3.4.13.19
PREPHENATE-ASP-TRANSAMINE-RXN	EC-2.6.1.78
RXN2R0Y-4	
3.5.2.17-RXN	EC-3.5.2.17
PYRROLINECARBREDUCT-RXN	EC-1.5.1.2
R102-RXN	EC-2.3.1.178
RXN0-6950	EC-2.1.1.264
RXN0-4621	EC-2.7.1.170
R101-RXN	EC-2.6.1.76
RXN-23013	EC-3.4.13.19
RXN-6201	EC-4.1.1.97
RXN2R0Y-11	
TYROSINE--TRNA-LIGASE-RXN	EC-6.1.1.1
R103-RXN	EC-4.2.1.108
ERYTHRON4PDEHYDROG-RXN	EC-1.1.1.290
RXN-11272	
ALANINE-AMINOTRANSFERASE-RXN	EC-2.6.1.2
RXN-2463	EC-4.2.1.83
RXN-2462	EC-3.1.1.57
RXN-13698	EC-2.6.1.2
RXN-9983	EC-5.3.2.8
HISTCYCLOHYD-RXN	EC-3.5.4.19
RXN-12444	EC-1.5.1.38
RXN-2464	EC-4.1.3.17
PHOSGLYPHOS-RXN	EC-2.7.2.3
RIBOFLAVINSYNDEAM-RXN	EC-3.5.4.26
HOMOCYSMETB12-RXN	EC-2.1.1.13
ERYTH4PDEHYDROG-RXN	EC-1.2.1.72
RXN-21538	
GLYCOLATEDEHYDRO-RXN	EC-1.1.99.14
RXN-21539	
RXN-10058	EC-3.5.4.26
RXN2R0Y-2	
RXN0-7229	EC-1.1.99.14
RXN-17757	
RXN0-5259	
RIBOFLAVINSYNREDUC-RXN	EC-1.1.1.193
2TRANSKETO-RXN	EC-2.2.1.1
1TRANSKETO-RXN	EC-2.2.1.1
RXN-12460	EC-3.1.1.29
RXN0-5021	EC-2.7.7.102
AMINOCYL-TRNA-HYDROLASE-RXN	EC-3.1.1.29
SULFITE-REDUCT-RXN	EC-1.8.1.2
RXN-16637	EC-3.1.1.29
S-ADENMETSYN-RXN	EC-2.5.1.6
RXN-14387	
HEMN-RXN	EC-1.3.98.3
RXN-14381	
RXN-14384	EC-2.8.1
DIOHBUTANONEPSYN-RXN	EC-4.1.99.12
PNPOXI-RXN	EC-1.4.3.5
RXN-14386	EC-2.8.1
DHLBXANAU-RXN	EC-3.8.1.3
RXN-14389	
1.5.1.20-RXN	EC-1.5.1.20
RXN-14388	
PMPOXI-RXN	EC-1.4.3.5
LUMAZINESYN-RXN	EC-2.5.1.78
RXN-18447	EC-6.2.1.1
RXN-14390	
3.4.24.70-RXN	EC-3.4.24.70
RXN-14391	EC-3.6.4
RXN-18397	EC-3.5.4.44
ISOCHORMAT-RXN	EC-3.3.2.1
ACETATE--COA-LIGASE-RXN	EC-6.2.1.1
THI-P-KIN-RXN	EC-2.7.4.16
HISTAMINOTRANS-RXN	EC-2.6.1.9
RXN-18448	EC-6.2.1.1
2.5.1.32-RXN	
RXN-13323	EC-2.5.1.32
URUR-RXN	EC-3.5.3.26
2.7.9.3-RXN	EC-2.7.9.3
RXN-13313	EC-3.1.3.27
RXNARA-8002	
KDGALDOL-RXN	EC-4.1.2.20
RXN-18446	EC-6.2.1.1
PRIBFAICARPISOM-RXN	EC-5.3.1.16
PROPIONATE--COA-LIGASE-RXN	EC-6.2.1.17
PGPPHOSPHA-RXN	EC-3.1.3.27
RXN0-6731	EC-2.1.1.242
RXN-21753	EC-6.2.1.17
PYRUVDEH-RXN	EC-1.2.1.104
IMIDPHOSDEHYD-RXN	EC-4.2.1.19
RXN0-4401	EC-3.6.1.22
ARGDECARBOX-RXN	EC-4.1.1.19
NADPYROPHOSPHAT-RXN	EC-3.6.1.22
TRANS-RXN2R0Y-4	
TRANS-RXN2R0Y-21	
ADENYL-KIN-RXN	EC-2.7.4.3
HOMOSERKIN-RXN	EC-2.7.1.39
RXN0-1133	EC-2.3.1.12
3.1.26.4-RXN	EC-3.1.26.4
DIHYDLIPACETRANS-RXN	EC-2.3.1.12
RXN-21711	EC-3.4.19.5
TRANS-RXN2R0Y-11	
3.4.19.5-RXN	EC-3.4.19.5
RXN-5901	EC-1.1.1.36
RXN-7919	EC-3.1.2.6
RXN0-1134	EC-1.2.4.1
RXN-12583	
GLYOXII-RXN	EC-3.1.2.6
RXN-19324	EC-3.1.3.73
RXN-22218	EC-1.1.1.36
RXN-12508	
RXN0-3241	EC-3.4.19.5
RXN-12612	EC-3.5.1
RXN-13279	EC-1.1.1.36
